library,url,paradigm,modality,framework,method_category,scope,model_agnostic,description_en,stars,last_updated,active,topics,note
SHAP,https://github.com/shap/shap,Classic XAI,"Tabular, Images, Text, Genomic","scikit-learn, XGBoost, LightGBM, CatBoost, Keras, tensorflow, pytorch, pyspark, transformers","Attribution, SHAP",Both,Yes,A game theoretic approach to explain the output of any machine learning model.,25636.0,2026-07-21,Yes,"deep-learning, explainability, gradient-boosting, interpretability, machine-learning, shap, shapley",
LIME,https://github.com/marcotcr/lime,Classic XAI,"Tabular, Images, Text","scikit-learn, Keras, tensorflow, pytorch","Attribution, LIME",Local,Yes,Lime: Explaining the predictions of any machine learning classifier,12157.0,2024-07-25,Yes,,
eli5,https://github.com/eli5-org/eli5,Classic XAI,"Tabular, Images, Text, Graph","scikit-learn, XGBoost, LightGBM, CatBoost, Keras, sklearn-crfsuite, lightning","Attribution, Feature Importance",Both,Yes,A library for debugging/inspecting machine learning classifiers and explaining their predictions,329.0,2025-04-20,Yes,,
Captum,https://github.com/pytorch/captum,Classic XAI,"Tabular, Images, Text",pytorch,"Attribution, Gradient",Both,No,Model interpretability and understanding for PyTorch,5674.0,2026-07-20,Yes,"feature-attribution, feature-importance, interpretability, interpretable-ai, interpretable-ml",
interpretML,https://github.com/interpretml/interpret,Classic XAI,Tabular,scikit-learn,"Attribution, Feature Importance, Counterfactual",Both,Yes,Fit interpretable models. Explain blackbox machine learning. ,6902.0,2026-07-20,Yes,"ai, artificial-intelligence, bias, blackbox, differential-privacy, explainability, explainable-ai, explainable-ml, gradient-boosting, iml, interpretability, interpretable-ai, interpretable-machine-learning, interpretable-ml, interpretml, machine-learning, scikit-learn, transparency, xai",
alibi,https://github.com/SeldonIO/alibi,Classic XAI,"Tabular, Images, Text, Graph","scikit-learn, Keras, tensorflow, pytorch","Attribution, Counterfactual, Anchors",Both,Yes,Algorithms for explaining machine learning models,2638.0,2025-10-17,Yes,"counterfactual, explanations, interpretability, machine-learning, xai",
DALEX,https://github.com/ModelOriented/DALEX,Classic XAI,Tabular,"scikit-learn, Keras, tensorflow, pytorch, XGBoost, LightGBM, CatBoost, H2O","Attribution, Feature Importance",Both,Yes,moDel Agnostic Language for Exploration and eXplanation,1481.0,2026-07-15,Yes,"black-box, dalex, data-science, explainable-ai, explainable-artificial-intelligence, explainable-ml, explanations, explanatory-model-analysis, fairness, iml, interpretability, interpretable-machine-learning, machine-learning, model-visualization, predictive-modeling, responsible-ai, responsible-ml, xai",
shapash,https://github.com/MAIF/shapash,Classic XAI,Tabular,"scikit-learn, XGBoost, LightGBM, CatBoost","Attribution, SHAP",Both,Yes,🔅 Shapash: User-friendly Explainability and Interpretability to Develop Reliable and Transparent Machine Learning Models,3248.0,2026-07-20,Yes,"ethical-artificial-intelligence, explainability, explainable-ml, interpretability, lime, machine-learning, python, shap, transparency",
AIX360,https://github.com/Trusted-AI/AIX360,Classic XAI,"Tabular, Images, Text","scikit-learn, tensorflow","Attribution, Counterfactual, Feature Importance",Both,Yes,Interpretability and explainability of data and machine learning models,1791.0,2026-07-23,Yes,"artificial-intelligence, codait, deep-learning, explainabil, explainable-ai, explainable-ml, ibm-research, ibm-research-ai, machine-learning, trusted-ai, trusted-ml, xai",
OmniXAI,https://github.com/salesforce/OmniXAI,Classic XAI,"Tabular, Images, Text, Time Series","Keras, pytorch","Attribution, Counterfactual, SHAP, LIME",Both,Yes,OmniXAI: A Library for eXplainable AI,970.0,2026-06-02,Yes,"explainable-ai, explainable-ml, explanation, interpretable-machine-learning, machine-learning",
dice-ml,https://github.com/interpretml/DiCE,Classic XAI,Tabular,"scikit-learn, Keras, tensorflow, pytorch",Counterfactual,Local,Yes,Generate Diverse Counterfactual Explanations for any machine learning model. ,1520.0,2025-07-13,Yes,"counterfactual-explanations, deep-learning, explainable-ai, explainable-ml, interpretable-machine-learning, machine-learning, xai",
CARLA,https://github.com/carla-recourse/CARLA,Classic XAI,Tabular,"scikit-learn, Keras, tensorflow, pytorch, XGBoost",Counterfactual,Local,Yes,CARLA: A Python Library to Benchmark Algorithmic Recourse and Counterfactual Explanation Algorithms,304.0,2023-10-02,No,"artificial-intelligence, benchmark, benchmarking, counterfactual, counterfactual-explanations, counterfactuals, explainability, explainable-ai, explainable-ml, machine-learning, python, pytorch, recourse, tensorflow, tensorflow2",
anchors,https://github.com/marcotcr/anchor,Classic XAI,"Tabular, Text","scikit-learn, pytorch",Anchors,Local,Yes,"Code for ""High-Precision Model-Agnostic Explanations"" paper",816.0,2022-07-19,No,,
COLA,https://github.com/understanding-ml/COLA,Classic XAI,Tabular,scikit-learn,"Counterfactual, SHAP",Local,Yes,Official library for xai-cola (COLA),49.0,2026-04-11,Yes,,
Quantus,https://github.com/understandable-machine-intelligence-lab/Quantus,Classic XAI,"Tabular, Images","Keras, tensorflow, pytorch, transformers",Evaluation Metrics,Both,Yes,[JMLR 2023] Quantus is an eXplainable AI toolkit for responsible evaluation of neural network explanations,671.0,2026-05-04,Yes,"deep-learning, explainable-ai, interpretability, machine-learning, pytorch, quantification-evaluation-methods, reproducibility, tensorflow, xai",
xai_evals,https://github.com/AryaXAI/xai_evals,Classic XAI,"Tabular, Images","pytorch, tensorflow, scikit-learn, XGBoost",Evaluation Metrics,Both,Yes,Evaluation Matrices for Explainability Methods,15.0,2025-11-05,,,
explabox,https://github.com/MarcelRobeer/explabox,Classic XAI,Text,"scikit-learn, Keras, tensorflow, pytorch","Attribution, Evaluation Metrics",Both,Yes,Explore/examine/explain/expose your model with the explabox!,20.0,2025-10-14,Yes,"ai-auditing, auditing, explainable-ai, explainable-ml, fairness, interpretable-machine-learning, machine-learning, python, responsible-ai, robustness",
pdpbox,https://github.com/SauceCat/PDPbox,Classic XAI,Tabular,scikit-learn,Feature Importance,Global,Yes,python partial dependence plot toolbox,860.0,2024-09-03,Yes,,
treeinterpreter,https://github.com/andosa/treeinterpreter,Classic XAI,Tabular,scikit-learn,Feature Importance,Local,No,,759.0,2023-07-18,No,,
pyXAI,https://github.com/crillab/pyxai,Classic XAI,Tabular,"scikit-learn, XGBoost, LightGBM",Feature Importance,Local,No,"PyXAI (Python eXplainable AI) is a Python library (version 3.6 or later) allowing to bring formal explanations suited to (regression or classification) tree-based ML models (Decision Trees, Random Forests, Boosted Trees, ...).",39.0,2026-05-22,Yes,"boosted-trees, classification, decision-tree, python, random-forest, regression, xai",
SALib,https://github.com/SALib/SALib,Classic XAI,Tabular,framework-agnostic,Sensitivity Analysis,Global,Yes,"Sensitivity Analysis Library in Python. Contains Sobol, Morris, FAST, and other methods.",996.0,2026-07-17,Yes,"global-sensitivity-analysis, joss, morris, numpy, python, salib, sensitivity-analysis, sensitivity-analysis-library, sobol, uncertainty, uncertainty-quantification",
deeplift,https://github.com/kundajelab/deeplift,Classic XAI,"Tabular, Images, Genomic",Keras,"Attribution, Gradient",Local,No,Public facing deeplift repo,879.0,2022-04-28,No,"deeplift, guided-backpropagation, integrated-gradients, interpretability, interpretable-deep-learning, saliency-map, sensitivity-analysis",
zennit,https://github.com/chr5tphr/zennit,Classic XAI,"Tabular, Images, Text",pytorch,"Attribution, Gradient, LRP",Local,No,Zennit is a high-level framework in Python using PyTorch for explaining/exploring neural networks using attribution methods like LRP.,247.0,2026-05-13,Yes,"attribution, deep-learning, explainability, explainable-ai, feature-attribution, interpretability, interpretable-ai, interpretable-ml, lrp, machine-learning, python, pytorch, xai",
tf-explain,https://github.com/sicara/tf-explain,Classic XAI,"Tabular, Images, Text",tensorflow,"Attribution, Gradient, Grad-CAM",Local,No,Interpretability Methods for tf.keras models with Tensorflow 2.x,1036.0,2024-06-03,Yes,"deep-learning, interpretability, keras, machine-learning, tensorflow, tf2, visualization",
saliency,https://github.com/pair-code/saliency,Classic XAI,Images,"tensorflow, pytorch","Attribution, Gradient",Local,No,"Framework-agnostic implementation for state-of-the-art saliency methods (XRAI, BlurIG, SmoothGrad, and more).",997.0,2024-03-20,No,"convolutional-neural-networks, deep-learning, deep-neural-networks, ig-saliency, image-recognition, machine-learning, object-detection, saliency, saliency-map, smoothgrad, tensorflow",
xaitk-saliency,https://github.com/XAITK/xaitk-saliency,Classic XAI,Images,pytorch,"Attribution, Gradient",Local,Yes,"As part of the Explainable AI Toolkit (XAITK), XAITK-Saliency is an open source, explainable AI framework for visual saliency algorithm interfaces and implementations, built for analytics and autonomy applications.",103.0,2026-06-19,Yes,"explainable-ai, python, saliency, visual-saliency, xai",
easy_explain,https://github.com/stavrostheocharis/easy_explain,Classic XAI,Images,pytorch,"Attribution, Grad-CAM",Local,No,An XAI library that helps to explain AI models in a really quick & easy way,18.0,2024-03-08,No,"artificial-intelligence, explainable-ai, explainable-artificial-intelligence, gradcam, image, lrp, occlusion, xai, xai-library, yolov8",
pytorch_explain,https://github.com/pietrobarbiero/pytorch_explain,Classic XAI,Images,pytorch,Concept-based,Both,No,PyTorch Explain: Interpretable Deep Learning in Python.,175.0,2024-05-16,No,"deep-learning, entropy, explainability, explainable-ai, interpretability, interpretable-ai, interpretable-deep-learning, interpretable-machine-learning, lens, logic, machine-learning, neural-network, python, pytorch, sympy",
bertviz,https://github.com/jessevig/bertviz,Classic XAI,Text,transformers,Attention Visualization,Local,No,BertViz: Visualize Attention in Transformer Models,8134.0,2026-01-08,Yes,"bert, gpt2, machine-learning, natural-language-processing, neural-network, nlp, pytorch, roberta, transformer, transformers, visualization",
transformers-interpret,https://github.com/cdpierse/transformers-interpret,Classic XAI,"Text, Images",transformers,Attribution,Local,No,Model explainability that works seamlessly with 🤗 transformers. Explain your transformers model in just 2 lines of code. ,1417.0,2023-08-30,No,"captum, computer-vision, deep-learning, explainable-ai, interpretability, machine-learning, model-explainability, natural-language-processing, neural-network, nlp, transformers, transformers-model",
interpret-text,https://github.com/interpretml/interpret-text,Classic XAI,Text,"scikit-learn, pytorch",Attribution,Local,Yes,A library that incorporates state-of-the-art explainers for text-based machine learning models and visualizes the result with a built-in dashboard.,431.0,2024-02-05,No,"azure-sdk, black-box-explanations, data-analyst, data-scientists, explainer, glass-box-explainers, grey-box-explainers, jupyter-notebook, linear-models, local-explanations, microsoft-azureml, nlp, nlp-models, nlp-scenarios, npm, python, text-classification, text-interpretability, visualization-dashboard",
